customerID,gender,GenderBinary,SeniorCitizen,Partner,PartnerBinary,Dependents,DependentBinary,tenure Month,PhoneService,PhoneServiceBinary,MultipleLines,MultipleLinesBinary,InternetService,InternetServiceBinary,OnlineSecurity,OnlineSecurity,OnlineBackup,OnlineBackupBinary,DeviceProtection,DeviceProtetionBinary,TechSupport,TechSupportBinary,StreamingTV,StreamingTVBinary,StreamingMovies,StreamingMoviesBinary,Contract,ContractBinary,PaperlessBilling,PaperlessBillingBinary,PaymentMethod,PMElectronicCheck,PMMailedCheck,PMCreditCardAuto,MonthlyCharges,TotalCharges,Churn,ChurnBinary
7590-VHVEG,Female,0,0,Yes,1,No,0,1,No,0,No phone service,0,DSL,1,No,1,Yes,2,No,1,No,1,No,1,No,1,Month-to-month,0,Yes,1,Electronic check,1,0,0,29.85,29.85,No,0
5575-GNVDE,Male,1,0,No,0,No,0,34,Yes,1,No,1,DSL,1,Yes,2,No,1,Yes,2,No,1,No,1,No,1,One year,1,No,0,Mailed check,0,1,0,56.95,1889.50,No,0
3668-QPYBK,Male,1,0,No,0,No,0,2,Yes,1,No,1,DSL,1,Yes,2,Yes,2,No,1,No,1,No,1,No,1,Month-to-month,0,Yes,1,Mailed check,0,1,0,53.85,108.15,Yes,1
7795-CFOCW,Male,1,0,No,0,No,0,2,No,0,No phone service,0,DSL,1,Yes,2,No,1,Yes,2,Yes,2,No,1,No,1,One year,1,No,0,Bank transfer (automatic),0,0,0,42.3,1840.75,No,0
9237-HQITU,Female,0,0,No,0,No,0,2,Yes,1,No,1,Fiber optic,2,No,1,No,1,No,1,No,1,No,1,No,1,Month-to-month,0,Yes,1,Electronic check,1,0,0,70.7,151.65,Yes,1
9305-CDSKC,Female,0,0,No,0,No,0,8,Yes,1,Yes,2,Fiber optic,2,No,1,No,1,Yes,2,No,1,Yes,2,Yes,2,Month-to-month,0,Yes,1,Electronic check,1,0,0,99.65,820.50,Yes,1
1452-KIOVK,Male,1,0,No,0,Yes,1,22,Yes,1,Yes,2,Fiber optic,2,No,1,Yes,2,No,1,No,1,Yes,2,No,1,Month-to-month,0,Yes,1,Credit card (automatic),0,0,1,89.1,1949.40,No,0
6713-OKOMC,Female,0,0,No,0,No,0,10,No,0,No phone service,0,DSL,1,Yes,2,No,1,No,1,No,1,No,1,No,1,Month-to-month,0,No,0,Mailed check,0,1,0,29.75,301.90,No,0
7892-POOKP,Female,0,0,Yes,1,No,0,28,Yes,1,Yes,2,Fiber optic,2,No,1,No,1,Yes,2,Yes,2,Yes,2,Yes,2,Month-to-month,0,Yes,1,Electronic check,1,0,0,104.8,3046.05,Yes,1
6388-TABGU,Male,1,0,No,0,Yes,1,62,Yes,1,No,1,DSL,1,Yes,2,Yes,2,No,1,No,1,No,1,No,1,One year,1,No,0,Bank transfer (automatic),0,0,0,56.15,3487.95,No,0
